x,Pressure (p),Velocity (v)
-1.0,-1.603810890548638e-28,-1.603810890548638e-28
-0.995,-3.560434556451065e-28,-3.560434556451065e-28
-0.99,-7.8646859357664195e-28,-7.8646859357664195e-28
-0.985,-1.7285752440372768e-27,-1.7285752440372768e-27
-0.98,-3.7802778447760985e-27,-3.7802778447760985e-27
-0.975,-8.225980595143903e-27,-8.225980595143903e-27
-0.97,-1.7810666347570803e-26,-1.7810666347570803e-26
-0.965,-3.8370829053445606e-26,-3.8370829053445606e-26
-0.96,-8.225280651606685e-26,-8.225280651606685e-26
-0.955,-1.7544007135665607e-25,-1.7544007135665607e-25
-0.95,-3.7233631217505106e-25,-3.7233631217505106e-25
-0.945,-7.862678502984612e-25,-7.862678502984612e-25
-0.94,-1.6520917823142836e-24,-1.6520917823142836e-24
-0.935,-3.454031957013841e-24,-3.454031957013841e-24
-0.9299999999999999,-7.1853356359022e-24,-7.1853356359022e-24
-0.925,-1.4872921816512494e-23,-1.4872921816512494e-23
-0.92,-3.06319086457743e-23,-3.06319086457743e-23
-0.915,-6.277407889747181e-23,-6.277407889747181e-23
-0.91,-1.2800153190516281e-22,-1.2800153190516281e-22
-0.905,-2.5970392492468285e-22,-2.5970392492468285e-22
-0.9,-5.242885663363464e-22,-5.242885663363464e-22
-0.895,-1.0531513477440116e-21,-1.0531513477440116e-21
-0.89,-2.1049399783397206e-21,-2.1049399783397206e-21
-0.885,-4.186173006145941e-21,-4.186173006145941e-21
-0.88,-8.283677007682918e-21,-8.283677007682918e-21
-0.875,-1.6310139226701858e-20,-1.6310139226701858e-20
-0.87,-3.1953667177483426e-20,-3.1953667177483426e-20
-0.865,-6.228913128535621e-20,-6.228913128535621e-20
-0.86,-1.2081820198999795e-19,-1.2081820198999795e-19
-0.855,-2.331744656246125e-19,-2.331744656246125e-19
-0.85,-4.4777324417183015e-19,-4.4777324417183015e-19
-0.845,-8.555862896902864e-19,-8.555862896902864e-19
-0.84,-1.6266646214532545e-18,-1.6266646214532545e-18
-0.835,-3.0772356381525148e-18,-3.0772356381525148e-18
-0.83,-5.792312885394871e-18,-5.792312885394871e-18
-0.825,-1.0848552640429378e-17,-1.0848552640429378e-17
-0.8200000000000001,-2.0217158486953177e-17,-2.0217158486953177e-17
-0.815,-3.7488404577454776e-17,-3.7488404577454776e-17
-0.81,-6.916753975541393e-17,-6.916753975541393e-17
-0.8049999999999999,-1.2698026413778767e-16,-1.2698026413778767e-16
-0.8,-2.3195228302435366e-16,-2.3195228302435366e-16
-0.7949999999999999,-4.2158932381742975e-16,-4.2158932381742975e-16
-0.79,-7.624459905389723e-16,-7.624459905389723e-16
-0.785,-1.3720094196451233e-15,-1.3720094196451233e-15
-0.78,-2.4565953687921255e-15,-2.4565953687921255e-15
-0.775,-4.37661850287085e-15,-4.37661850287085e-15
-0.77,-7.758402075696056e-15,-7.758402075696056e-15
-0.765,-1.3684672281264927e-14,-1.3684672281264927e-14
-0.76,-2.4017347816209437e-14,-2.4017347816209437e-14
-0.755,-4.194152536192224e-14,-4.194152536192224e-14
-0.75,-7.287724095819692e-14,-7.287724095819692e-14
-0.745,-1.2599930548477415e-13,-1.2599930548477415e-13
-0.74,-2.167568882618954e-13,-2.167568882618954e-13
-0.735,-3.710275783094745e-13,-3.710275783094745e-13
-0.73,-6.319285885175368e-13,-6.319285885175368e-13
-0.725,-1.0709232382508077e-12,-1.0709232382508077e-12
-0.72,-1.8058314375132107e-12,-1.8058314375132107e-12
-0.715,-3.029874246723673e-12,-3.029874246723673e-12
-0.71,-5.058252742843803e-12,-5.058252742843803e-12
-0.7050000000000001,-8.402431396484238e-12,-8.402431396484238e-12
-0.7,-1.3887943864964021e-11,-1.3887943864964021e-11
-0.6950000000000001,-2.284017657993678e-11,-2.284017657993678e-11
-0.69,-3.7375713279442825e-11,-3.7375713279442825e-11
-0.685,-6.08566510551831e-11,-6.08566510551831e-11
-0.6799999999999999,-9.859505575991516e-11,-9.859505575991516e-11
-0.675,-1.5893910094516254e-10,-1.5893910094516254e-10
-0.6699999999999999,-2.5493818803919876e-10,-2.5493818803919876e-10
-0.665,-4.068811450655784e-10,-4.068811450655784e-10
-0.6599999999999999,-6.461431773106131e-10,-6.461431773106131e-10
-0.655,-1.020982947159327e-09,-1.020982947159327e-09
-0.6499999999999999,-1.605228055185623e-09,-1.605228055185623e-09
-0.645,-2.5112128332712868e-09,-2.5112128332712868e-09
-0.64,-3.90893843426485e-09,-3.90893843426485e-09
-0.635,-6.054282282484869e-09,-6.054282282484869e-09
-0.63,-9.330287574505005e-09,-9.330287574505005e-09
-0.625,-1.4307241918567688e-08,-1.4307241918567688e-08
